CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 2 ; Serial number 1112047"
DESCRIPTOR	"デフォルトの測定値"
MEASUREMENT_SOURCE	"MeasurementCondition=M0	Filter=no"
ILLUMINATION_NAME	"D65"
OBSERVER_ANGLE	"2"
FILTER	"no"
WEIGHTING_FUNCTION	"ILLUMINANT,	D65"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2026-05-28T18:24:49"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	LAB_L	LAB_A	LAB_B	
69	E5	   43.21	    1.14	    5.53	
70	F5	   48.05	    1.24	    6.28	
71	G5	   52.37	    1.23	    6.69	
72	H5	   56.82	    1.21	    7.19	
73	I5	   62.24	    1.12	    7.44	
74	J5	   67.37	    1.01	    7.83	
75	K5	   71.13	    0.89	    7.71	
76	L5	   76.24	    0.73	    7.54	
77	M5	   80.75	    0.53	    7.42	
78	N5	   84.81	    0.35	    7.19	
79	O5	   90.15	   -0.00	    6.13	
80	P5	   95.00	   -0.43	    4.99	
81	A6	   26.60	    0.46	    1.48	
82	B6	   30.92	    0.75	    2.60	
83	C6	   34.59	    0.92	    3.54	
84	D6	   39.03	    1.06	    4.52	
85	E6	   43.17	    1.14	    5.52	
86	F6	   47.55	    1.22	    6.14	
87	G6	   52.12	    1.23	    6.68	
88	H6	   56.25	    1.21	    7.20	
89	I6	   61.48	    1.15	    7.44	
90	J6	   66.48	    1.01	    7.70	
91	K6	   70.74	    0.88	    7.69	
92	L6	   75.74	    0.76	    7.67	
93	M6	   80.07	    0.56	    7.57	
94	N6	   84.28	    0.35	    7.17	
95	O6	   89.90	    0.02	    6.19	
96	P6	   94.66	   -0.40	    5.16	
97	A7	   26.25	    0.42	    1.53	
98	B7	   30.34	    0.73	    2.47	
99	C7	   34.36	    0.89	    3.50	
100	D7	   38.71	    1.09	    4.45	
101	E7	   42.66	    1.12	    5.38	
102	F7	   46.72	    1.21	    6.03	
103	G7	   51.40	    1.23	    6.56	
104	H7	   55.86	    1.19	    7.12	
105	I7	   60.45	    1.15	    7.32	
106	J7	   65.74	    1.03	    7.72	
107	K7	   69.87	    0.90	    7.58	
108	L7	   74.62	    0.75	    7.59	
109	M7	   79.44	    0.57	    7.45	
110	N7	   83.83	    0.37	    7.22	
111	O7	   89.05	    0.05	    6.39	
112	P7	   94.34	   -0.36	    5.18	
113	A8	   26.27	    0.48	    1.44	
114	B8	   30.28	    0.74	    2.36	
115	C8	   34.21	    0.91	    3.53	
116	D8	   38.54	    1.09	    4.51	
117	E8	   42.39	    1.16	    5.36	
118	F8	   46.54	    1.23	    6.05	
119	G8	   51.08	    1.23	    6.52	
120	H8	   55.48	    1.22	    7.09	
121	I8	   59.82	    1.17	    7.36	
122	J8	   64.95	    1.05	    7.63	
123	K8	   69.22	    0.95	    7.64	
124	L8	   74.29	    0.80	    7.64	
125	M8	   79.10	    0.59	    7.52	
126	N8	   83.33	    0.41	    7.23	
127	O8	   88.56	    0.11	    6.75	
128	P8	   94.14	   -0.34	    5.28	
129	A9	   26.25	    0.45	    1.37	
130	B9	   30.04	    0.68	    2.30	
131	C9	   33.93	    0.89	    3.49	
132	D9	   38.00	    1.06	    4.39	
133	E9	   42.25	    1.12	    5.46	
134	F9	   46.40	    1.23	    5.93	
135	G9	   50.69	    1.25	    6.58	
136	H9	   55.22	    1.26	    7.19	
137	I9	   59.99	    1.17	    7.35	
138	J9	   64.94	    1.06	    7.70	
139	K9	   69.06	    0.97	    7.70	
140	L9	   74.25	    0.82	    7.69	
141	M9	   78.96	    0.62	    7.50	
142	N9	   83.10	    0.41	    7.25	
143	O9	   88.53	    0.09	    6.33	
144	P9	   93.58	   -0.29	    5.33	
145	A10	   26.30	    0.50	    1.31	
146	B10	   29.69	    0.65	    2.13	
147	C10	   34.20	    0.89	    3.49	
148	D10	   38.23	    1.07	    4.39	
149	E10	   42.41	    1.14	    5.35	
150	F10	   46.45	    1.21	    5.94	
151	G10	   51.15	    1.23	    6.54	
152	H10	   55.04	    1.22	    7.14	
153	I10	   59.78	    1.15	    7.29	
154	J10	   65.02	    1.03	    7.55	
155	K10	   69.28	    0.97	    7.69	
156	L10	   74.70	    0.78	    7.56	
157	M10	   79.30	    0.58	    7.51	
158	N10	   83.56	    0.40	    7.05	
159	O10	   88.38	    0.11	    6.43	
160	P10	   93.35	   -0.28	    5.45	
161	A11	   26.11	    0.45	    1.35	
162	B11	   29.42	    0.62	    2.11	
163	C11	   33.84	    0.86	    3.41	
164	D11	   38.09	    1.06	    4.29	
165	E11	   42.04	    1.11	    5.32	
166	F11	   46.65	    1.21	    5.93	
167	G11	   51.07	    1.24	    6.61	
168	H11	   55.38	    1.20	    7.13	
169	I11	   60.04	    1.16	    7.31	
170	J11	   64.91	    1.05	    7.56	
171	K11	   69.44	    0.95	    7.66	
172	L11	   74.17	    0.81	    7.61	
173	M11	   78.86	    0.63	    7.61	
174	N11	   83.28	    0.41	    7.17	
175	O11	   88.11	    0.15	    6.56	
176	P11	   93.46	   -0.28	    5.46	
177	A12	   25.93	    0.43	    1.33	
178	B12	   29.32	    0.66	    2.06	
179	C12	   33.62	    0.89	    3.38	
180	D12	   37.93	    1.08	    4.29	
181	E12	   42.17	    1.12	    5.30	
182	F12	   46.67	    1.22	    6.02	
183	G12	   51.28	    1.23	    6.61	
184	H12	   55.65	    1.22	    7.17	
185	I12	   60.35	    1.19	    7.34	
186	J12	   65.29	    1.07	    7.60	
187	K12	   69.73	    0.96	    7.66	
188	L12	   74.39	    0.81	    7.64	
189	M12	   79.06	    0.66	    7.59	
190	N12	   83.15	    0.42	    7.13	
191	O12	   87.70	    0.17	    6.56	
192	P12	   92.94	   -0.23	    5.54	
193	A13	   25.49	    0.41	    1.29	
194	B13	   29.05	    0.63	    1.99	
195	C13	   33.79	    0.85	    3.50	
196	D13	   38.27	    1.08	    4.45	
197	E13	   42.31	    1.13	    5.46	
198	F13	   47.00	    1.25	    6.07	
199	G13	   51.64	    1.26	    6.70	
200	H13	   55.79	    1.24	    7.21	
201	I13	   60.18	    1.19	    7.31	
202	J13	   65.15	    1.07	    7.58	
203	K13	   69.46	    0.95	    7.68	
204	L13	   74.53	    0.83	    7.72	
205	M13	   78.89	    0.68	    7.66	
206	N13	   83.34	    0.43	    7.18	
207	O13	   87.70	    0.19	    6.65	
208	P13	   92.83	   -0.21	    5.68	
209	A14	   25.15	    0.42	    1.35	
210	B14	   28.95	    0.65	    2.07	
211	C14	   33.62	    0.83	    3.41	
212	D14	   38.05	    1.09	    4.34	
213	E14	   43.02	    1.16	    5.63	
214	F14	   47.57	    1.26	    6.19	
215	G14	   51.79	    1.28	    6.82	
216	H14	   56.30	    1.23	    7.33	
217	I14	   60.63	    1.19	    7.50	
218	J14	   65.39	    1.05	    7.62	
219	K14	   69.43	    0.96	    7.72	
220	L14	   74.44	    0.83	    7.67	
221	M14	   79.03	    0.65	    7.60	
222	N14	   83.56	    0.43	    7.21	
223	O14	   88.06	    0.16	    6.64	
224	P14	   93.13	   -0.23	    5.55	
225	A15	   25.01	    0.42	    1.52	
226	B15	   28.97	    0.61	    2.05	
227	C15	   33.56	    0.86	    3.41	
228	D15	   39.04	    1.11	    4.57	
229	E15	   43.56	    1.17	    5.62	
230	F15	   47.76	    1.26	    6.26	
231	G15	   52.86	    1.29	    6.98	
232	H15	   56.71	    1.25	    7.41	
233	I15	   61.11	    1.20	    7.61	
234	J15	   65.37	    1.06	    7.74	
235	K15	   69.95	    0.95	    7.75	
236	L15	   75.07	    0.80	    7.68	
237	M15	   79.70	    0.64	    7.63	
238	N15	   84.13	    0.39	    7.21	
239	O15	   88.69	    0.12	    6.49	
240	P15	   93.31	   -0.23	    5.50	
241	A16	   24.75	    0.45	    1.58	
242	B16	   28.60	    0.61	    1.86	
243	C16	   34.28	    0.92	    3.63	
244	D16	   39.46	    1.13	    4.70	
245	E16	   43.92	    1.22	    5.82	
246	F16	   48.79	    1.26	    6.38	
247	G16	   53.37	    1.23	    6.88	
248	H16	   57.48	    1.20	    7.33	
249	I16	   62.20	    1.16	    7.57	
250	J16	   66.53	    1.02	    7.62	
251	K16	   70.96	    0.92	    7.67	
252	L16	   75.87	    0.77	    7.64	
253	M16	   80.58	    0.58	    7.60	
254	N16	   85.14	    0.32	    7.06	
255	O16	   89.47	    0.06	    6.44	
256	P16	   93.49	   -0.25	    5.46	
END_DATA
